candidate_type,distance_to_nearest_synthetic,membership_score
train,3.085767987126724,-3.085767987126724
train,2.4144069272462003,-2.4144069272462003
train,2.341717488940333,-2.341717488940333
train,2.8193817087725725,-2.8193817087725725
train,2.485668527710451,-2.485668527710451
train,1.9163394629269785,-1.9163394629269785
train,1.7931877559494722,-1.7931877559494722
train,5.5296345394846975,-5.5296345394846975
train,1.863414434415175,-1.863414434415175
train,1.4366023014916887,-1.4366023014916887
train,1.6592778686505822,-1.6592778686505822
train,3.662434794872823,-3.662434794872823
train,2.1691523590485504,-2.1691523590485504
train,2.102302825486345,-2.102302825486345
train,2.295775096243553,-2.295775096243553
train,1.7806400070760946,-1.7806400070760946
train,2.192085115049547,-2.192085115049547
train,1.6757352434557224,-1.6757352434557224
train,2.3430850490843147,-2.3430850490843147
train,1.9623551282004172,-1.9623551282004172
train,1.7450458006115812,-1.7450458006115812
train,2.7034424717472354,-2.7034424717472354
train,13.038538602231549,-13.038538602231549
train,1.609177411441388,-1.609177411441388
train,3.385646040864904,-3.385646040864904
train,1.8147423166614078,-1.8147423166614078
train,2.8771799901858537,-2.8771799901858537
train,1.8235864118372016,-1.8235864118372016
train,1.8205102060591825,-1.8205102060591825
train,3.1669075251712013,-3.1669075251712013
train,2.250232989916866,-2.250232989916866
train,2.9349442457827055,-2.9349442457827055
train,4.751494888057547,-4.751494888057547
train,1.8449182676566525,-1.8449182676566525
train,1.6637339209254587,-1.6637339209254587
train,3.4669853772285117,-3.4669853772285117
train,2.8321853476662247,-2.8321853476662247
train,2.7768867581140184,-2.7768867581140184
train,1.6095874624762871,-1.6095874624762871
train,2.4774092281639213,-2.4774092281639213
train,2.7600553227195275,-2.7600553227195275
train,1.670630904709067,-1.670630904709067
train,2.5024914614941616,-2.5024914614941616
train,1.9745799491215619,-1.9745799491215619
train,1.9553473463150786,-1.9553473463150786
train,2.343183618163327,-2.343183618163327
train,1.988626925084154,-1.988626925084154
train,1.7030496148743972,-1.7030496148743972
train,2.2362420224224944,-2.2362420224224944
train,2.2556098930877426,-2.2556098930877426
train,4.109551211129233,-4.109551211129233
train,2.8933360198824065,-2.8933360198824065
train,4.459953410585922,-4.459953410585922
train,2.752819073527379,-2.752819073527379
train,3.3599545539610505,-3.3599545539610505
train,1.6251845349224079,-1.6251845349224079
train,2.11341941350503,-2.11341941350503
train,2.258123337208346,-2.258123337208346
train,2.269745193350228,-2.269745193350228
train,2.1795038090899888,-2.1795038090899888
train,3.0843192897335334,-3.0843192897335334
train,2.035962344882157,-2.035962344882157
train,2.3565228142696864,-2.3565228142696864
train,3.4231759293921233,-3.4231759293921233
train,3.305662076682705,-3.305662076682705
train,5.0519827953512255,-5.0519827953512255
train,1.841763604081037,-1.841763604081037
train,1.3916881511050183,-1.3916881511050183
train,2.027804424507745,-2.027804424507745
train,1.6722245304592522,-1.6722245304592522
train,1.4791203149775884,-1.4791203149775884
train,2.4903899800635085,-2.4903899800635085
train,1.6224273564580012,-1.6224273564580012
train,2.714900703401425,-2.714900703401425
train,3.0380312744983478,-3.0380312744983478
train,1.8041515993720403,-1.8041515993720403
train,2.3157199360093315,-2.3157199360093315
train,2.506882771924445,-2.506882771924445
train,2.220084434759849,-2.220084434759849
train,1.5109428087175039,-1.5109428087175039
train,2.4427127981144223,-2.4427127981144223
train,1.935731141452541,-1.935731141452541
train,5.875106507260708,-5.875106507260708
train,2.05304691015368,-2.05304691015368
train,2.1816440728325395,-2.1816440728325395
train,3.333814715519064,-3.333814715519064
train,1.3638791533816423,-1.3638791533816423
train,2.6380563846221774,-2.6380563846221774
train,6.421413881771674,-6.421413881771674
train,1.8843977696754668,-1.8843977696754668
train,2.823474124151653,-2.823474124151653
train,2.441192044755973,-2.441192044755973
train,2.97835712559081,-2.97835712559081
train,2.3833731778120137,-2.3833731778120137
train,2.1065565453839876,-2.1065565453839876
train,2.5249883711103998,-2.5249883711103998
train,2.3119738112826447,-2.3119738112826447
train,2.5965707240126346,-2.5965707240126346
train,1.5747162457075072,-1.5747162457075072
train,2.87979566642208,-2.87979566642208
train,1.7577180947386137,-1.7577180947386137
train,3.038932538166149,-3.038932538166149
train,3.3607235809913094,-3.3607235809913094
train,2.5016996270585037,-2.5016996270585037
train,2.2958193827348876,-2.2958193827348876
train,2.9286235088681805,-2.9286235088681805
train,2.1273326825570065,-2.1273326825570065
train,2.8303634028461535,-2.8303634028461535
train,5.101795903352102,-5.101795903352102
train,2.395755147640465,-2.395755147640465
train,5.666814875149943,-5.666814875149943
train,2.553076399086157,-2.553076399086157
train,2.0685918401247574,-2.0685918401247574
train,3.4830952727184847,-3.4830952727184847
train,2.156451696697108,-2.156451696697108
train,1.7417976260760768,-1.7417976260760768
train,2.9037192601379163,-2.9037192601379163
train,3.7816475723253946,-3.7816475723253946
train,2.550172169077279,-2.550172169077279
train,2.471710114627464,-2.471710114627464
train,2.9184651282917136,-2.9184651282917136
train,1.6042434772742165,-1.6042434772742165
train,1.5803049009673356,-1.5803049009673356
train,2.326418886134114,-2.326418886134114
train,1.7918945162202506,-1.7918945162202506
train,4.056539545822171,-4.056539545822171
train,3.4651267094936435,-3.4651267094936435
train,2.199723498791788,-2.199723498791788
train,2.6492162896898974,-2.6492162896898974
train,2.4668021357132592,-2.4668021357132592
train,3.2026160203962895,-3.2026160203962895
train,2.1499757399104813,-2.1499757399104813
train,3.0982405415683525,-3.0982405415683525
train,2.450488473757487,-2.450488473757487
test,3.5713023515502638,-3.5713023515502638
test,2.027511296967797,-2.027511296967797
test,2.403624144505293,-2.403624144505293
test,1.8601851435452528,-1.8601851435452528
test,3.1322601876794867,-3.1322601876794867
test,1.7838975312303949,-1.7838975312303949
test,2.5284988326798117,-2.5284988326798117
test,2.439210798431463,-2.439210798431463
test,1.6799228715989736,-1.6799228715989736
test,3.8640769194960884,-3.8640769194960884
test,1.8874809437444042,-1.8874809437444042
test,3.0021270598152374,-3.0021270598152374
test,1.654613636215643,-1.654613636215643
test,2.2389190236237573,-2.2389190236237573
test,2.3714965464415774,-2.3714965464415774
test,1.8441276889902944,-1.8441276889902944
test,3.0412422525295026,-3.0412422525295026
test,3.0911158877345795,-3.0911158877345795
test,1.9188943877503024,-1.9188943877503024
test,3.258500025870595,-3.258500025870595
test,2.581820225228543,-2.581820225228543
test,2.6729663613187333,-2.6729663613187333
test,1.9864515606328093,-1.9864515606328093
test,5.986773049534096,-5.986773049534096
test,2.2278796823015914,-2.2278796823015914
test,1.9735409302962241,-1.9735409302962241
test,2.6732588423915757,-2.6732588423915757
test,1.7840458181523757,-1.7840458181523757
test,1.7894785432018312,-1.7894785432018312
test,2.167796836975661,-2.167796836975661
test,3.2909778478324996,-3.2909778478324996
test,2.6641414497193554,-2.6641414497193554
test,2.3919271740914745,-2.3919271740914745
test,3.329814359713112,-3.329814359713112
test,2.183901473479314,-2.183901473479314
test,2.9714947957833133,-2.9714947957833133
test,1.996798443311731,-1.996798443311731
test,3.028750612648539,-3.028750612648539
test,2.199087740840272,-2.199087740840272
test,2.713337977029236,-2.713337977029236
test,2.4117275637634283,-2.4117275637634283
test,1.5994085576943482,-1.5994085576943482
test,1.581460813305731,-1.581460813305731
test,4.045528422178074,-4.045528422178074
test,2.944896398031727,-2.944896398031727
test,2.0586014641341173,-2.0586014641341173
test,2.7303380371941643,-2.7303380371941643
test,1.8970028491494657,-1.8970028491494657
test,2.3081201774533318,-2.3081201774533318
test,2.063607140160097,-2.063607140160097
test,2.8611053790054237,-2.8611053790054237
test,2.352442014659956,-2.352442014659956
test,3.167451584353084,-3.167451584353084
test,2.4270146346309573,-2.4270146346309573
test,2.4419515632170707,-2.4419515632170707
test,1.7927803724631468,-1.7927803724631468
test,1.5583588574553284,-1.5583588574553284
test,2.183933019617195,-2.183933019617195
test,2.800122141994581,-2.800122141994581
test,2.253461030002334,-2.253461030002334
test,1.5946739029118153,-1.5946739029118153
test,2.539151295753753,-2.539151295753753
test,2.03221570309958,-2.03221570309958
test,1.9619602893346708,-1.9619602893346708
test,3.4182455135496475,-3.4182455135496475
test,2.315519751064345,-2.315519751064345
test,1.855290903683896,-1.855290903683896
test,2.033425686130505,-2.033425686130505
test,2.9197852107483846,-2.9197852107483846
test,2.4183116300968868,-2.4183116300968868
test,2.480820865488321,-2.480820865488321
test,1.644939074882245,-1.644939074882245
test,2.098056927510587,-2.098056927510587
test,3.9946240319652557,-3.9946240319652557
test,2.171994290791803,-2.171994290791803
test,2.7682925292086704,-2.7682925292086704
test,3.023809119062422,-3.023809119062422
test,1.666166866191741,-1.666166866191741
test,2.339589349668807,-2.339589349668807
test,1.6496705286190976,-1.6496705286190976
test,1.683164066115504,-1.683164066115504
test,1.887461372764732,-1.887461372764732
test,2.568860493224925,-2.568860493224925
test,2.4129779704863688,-2.4129779704863688
test,2.2375728024053627,-2.2375728024053627
test,1.7961404321756758,-1.7961404321756758
test,1.4489168689140401,-1.4489168689140401
test,2.671281002103784,-2.671281002103784
test,1.7062128902617464,-1.7062128902617464
test,1.772687980270405,-1.772687980270405
test,1.991476449097815,-1.991476449097815
test,2.1500540014693827,-2.1500540014693827
test,2.2879933804950543,-2.2879933804950543
test,2.591610931155448,-2.591610931155448
test,4.382211706789024,-4.382211706789024
test,2.296328532564198,-2.296328532564198
test,2.9966294265046667,-2.9966294265046667
test,1.422022145633683,-1.422022145633683
test,4.057569242528518,-4.057569242528518
test,1.7014722168162915,-1.7014722168162915
test,2.6524583786713682,-2.6524583786713682
test,3.335237148959638,-3.335237148959638
test,3.2088464280704003,-3.2088464280704003
test,2.103390001441761,-2.103390001441761
test,4.422826054914825,-4.422826054914825
test,11.790784001427138,-11.790784001427138
test,1.6623118910435097,-1.6623118910435097
test,2.4882458831508507,-2.4882458831508507
test,6.392944099015506,-6.392944099015506
test,2.445521716859924,-2.445521716859924
test,2.9530245672150275,-2.9530245672150275
test,3.7151895464835576,-3.7151895464835576
test,1.7950805707579964,-1.7950805707579964
test,1.6506564893359081,-1.6506564893359081
